C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2025-12-07T00:00:00.000Z,-0.12633180618286133,0.8265723586082458,0.29292073317743283,0.13608730672471178,1794,726,0.26584023237228394,0.16346853971481323,0.4913678765296936,0
2025-12-09T00:00:00.000Z,-0.09096243977546692,0.7850026488304138,0.22314948770775694,0.1389405004343401,1794,726,0.1902438998222351,0.08915144950151443,0.42817097902297974,11.423220973782765
2025-12-12T00:00:00.000Z,-0.060693640261888504,0.8111432790756226,0.25544514961554643,0.11742237783325017,1794,726,0.22909796237945557,0.14357683062553406,0.40241363644599915,0
2025-12-17T00:00:00.000Z,-0.007877323776483536,0.7952265739440918,0.24551715335568006,0.1180365742668244,1794,726,0.208285391330719,0.13484589755535126,0.40666666626930237,0
2025-12-19T00:00:00.000Z,0.08838500827550888,0.7378151416778564,0.21905675709721986,0.10314750192563477,1794,726,0.17364241182804108,0.13394424319267273,0.35153713822364807,0
2025-12-22T00:00:00.000Z,-0.0439637117087841,0.7650982141494751,0.18528811618021235,0.09836763738131266,1794,726,0.14890484511852264,0.1249094009399414,0.2897436022758484,0
2025-12-24T00:00:00.000Z,-0.11541325598955154,0.7752310633659363,0.18274245889986443,0.10623955485684342,1794,726,0.14405010640621185,0.11924629658460617,0.2987910211086273,0
2025-12-27T00:00:00.000Z,0.0449502132833004,0.7606003880500793,0.19050357028604806,0.10826915224860384,1794,726,0.14272768795490265,0.1169474720954895,0.2976725101470947,0
2026-01-01T00:00:00.000Z,-0.14376187324523926,0.7317647337913513,0.18006383541911275,0.11921288120563063,1794,726,0.13931669294834137,0.1010587066411972,0.31990131735801697,0
2026-01-06T00:00:00.000Z,-0.1413096934556961,0.6123882532119751,0.19690727055337556,0.09508214410400599,1794,726,0.18644067645072937,0.1171833947300911,0.30185097455978394,1.5917602996254658
2026-01-08T00:00:00.000Z,-0.08360835909843445,0.7048550844192505,0.22694542705863416,0.09720441872931529,1794,726,0.2241707146167755,0.1156812310218811,0.325398713350296,10.01872659176029
2026-01-16T00:00:00.000Z,-0.07207837700843811,0.6568694710731506,0.19261056657842174,0.06960974373038327,1794,726,0.17856357991695404,0.13827919960021973,0.254841685295105,0
2026-01-21T00:00:00.000Z,0.03205465152859688,0.6622340679168701,0.22271561281134714,0.07142503617350479,1794,726,0.20415674149990082,0.16923701763153076,0.2860912084579468,0
2026-01-23T00:00:00.000Z,-0.09315866231918335,0.6727169752120972,0.2378511631607134,0.10512592185547365,1794,726,0.19965635240077972,0.1568833440542221,0.40958788990974426,0
2026-01-28T00:00:00.000Z,-0.005942733492702246,0.7241206169128418,0.2924696882173619,0.12215734433275917,1794,726,0.24932686984539032,0.17073170840740204,0.4879366159439087,0
2026-02-05T00:00:00.000Z,0.07845112681388855,0.8366445899009705,0.4460710209379257,0.1324494833265325,1794,726,0.45219048857688904,0.27754712104797363,0.6183418035507202,0
2026-02-10T00:00:00.000Z,0.07049474865198135,0.8119540214538574,0.5457997983775005,0.12696925702030776,1794,726,0.5473496317863464,0.3724438548088074,0.7187235355377197,0
2026-02-12T00:00:00.000Z,0.08002783358097076,0.90274578332901,0.6188886572052252,0.17371633378716048,1794,726,0.6383495330810547,0.3587352931499481,0.8309859037399292,0
2026-02-17T00:00:00.000Z,0.10994263738393784,0.8802638053894043,0.6324393967940901,0.13962554858331633,1794,726,0.63922518491745,0.43848058581352234,0.8112424612045288,0
2026-02-22T00:00:00.000Z,0.07455094903707504,0.9381616711616516,0.759352174653821,0.15106688987146005,1794,726,0.807547926902771,0.5269631147384644,0.9007620215415955,0
2026-02-25T00:00:00.000Z,0.051096055656671524,1,0.7684825700481007,0.14843803648436643,1794,726,0.8229796886444092,0.535050094127655,0.9008264541625977,0
2026-02-27T00:00:00.000Z,0.10695268213748932,0.9053110480308533,0.7639644323300551,0.13997681515615903,1794,726,0.8209021687507629,0.5454545617103577,0.8837489485740662,0
2026-03-09T00:00:00.000Z,0.08691959083080292,0.9156680107116699,0.8023884314415818,0.12768498545712903,1794,726,0.8607614636421204,0.6395207643508911,0.8954356908798218,0
2026-03-21T00:00:00.000Z,0.07792963087558746,0.9173240661621094,0.8269613072387729,0.11540166009482428,1794,726,0.867211103439331,0.7024272084236145,0.8968461155891418,0
2026-03-22T00:00:00.000Z,0.11397326737642288,0.9516778588294983,0.853515316449692,0.11779590296466275,1794,726,0.893612265586853,0.7219558954238892,0.9272247552871704,0
2026-03-27T00:00:00.000Z,0.13093066215515137,0.9476380348205566,0.8118350271847146,0.14541331309363584,1794,726,0.8720864057540894,0.5698838829994202,0.9222546219825745,3.183520599250931
2026-04-01T00:00:00.000Z,0.18538783490657806,0.8877037763595581,0.7330487988442748,0.15832381973661913,1794,726,0.8004906177520752,0.4999270737171173,0.8575419187545776,7.7715355805243425
2026-04-10T00:00:00.000Z,0.11431513726711273,0.864646852016449,0.759358160895355,0.09517350640984161,1794,726,0.787858247756958,0.6731978058815002,0.821626603603363,0
2026-04-11T00:00:00.000Z,0.11904465407133102,0.9000214338302612,0.7888263429999915,0.10225060899388236,1794,726,0.8202669024467468,0.6848874688148499,0.8563151955604553,0.2808988764044944
2026-04-13T00:00:00.000Z,0.09317285567522049,0.9335845708847046,0.7990386079620109,0.10845818918975336,1794,726,0.8287835717201233,0.6919540166854858,0.8763600587844849,0
2026-04-28T00:00:00.000Z,0.06884650141000748,0.8938775658607483,0.7204078686622416,0.09419586535961362,1794,726,0.726457417011261,0.6289663314819336,0.8330457210540771,0
2026-05-01T00:00:00.000Z,0.026014110073447227,0.8965815901756287,0.631918911321598,0.14783171120489588,1794,726,0.6613597869873047,0.4384532868862152,0.7841591835021973,10.486891385767812
2026-05-06T00:00:00.000Z,0.0940222293138504,0.8538868427276611,0.48753918391348955,0.18223097664955498,1794,726,0.5178729891777039,0.24967417120933533,0.727729856967926,2.528089887640446
2026-05-08T00:00:00.000Z,0.1156235784292221,0.7878848314285278,0.4427458010474391,0.17710663290838205,1794,726,0.4476473927497864,0.23267687857151031,0.6937500238418579,1.6853932584269655
2026-05-10T00:00:00.000Z,0.08379562199115753,0.7829196453094482,0.3791467649059906,0.17567984341382745,1794,726,0.3134058117866516,0.2027762085199356,0.6637835502624512,0
2026-05-11T00:00:00.000Z,0.09029076993465424,0.8053417801856995,0.3652124012984363,0.17762527578188697,1794,726,0.279800146818161,0.2098226398229599,0.6792852282524109,0
2026-05-18T00:00:00.000Z,0.07555178552865982,0.8658647537231445,0.30984315229405346,0.14381185406431,1794,726,0.24551214277744293,0.2028617560863495,0.5660327076911926,0
2026-05-26T00:00:00.000Z,0.07328332215547562,0.8719639182090759,0.2856569752613371,0.12523413289317642,1794,726,0.25495749711990356,0.18501047790050507,0.4220283627510071,2.9026217228464444
2026-05-28T00:00:00.000Z,0.053479187190532684,0.9061251878738403,0.3247853463676088,0.13441636958529962,1794,726,0.30013641715049744,0.19883526861667633,0.48161277174949646,0
